Depth profiles at each cell, TRIGRS, v. 2.1.00a
Finite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
 0.40000     -0.68620     -0.93184      0.24564      0.33885       3.9431    
 0.60000     -0.51722     -0.76242      0.24519      0.50828       3.1006    
 0.80000     -0.34819     -0.59299      0.24480      0.67770       2.6793    
  1.0000     -0.17909     -0.42356      0.24447      0.84713       2.4266    
  1.2000     -0.99369E-02 -0.25414      0.24420       1.0166       2.2581    
  1.4000      0.15928     -0.84713E-01  0.24399       1.1860       2.0530    
  1.6000      0.32855      0.84713E-01  0.24384       1.3554       1.8946    
  1.8000      0.49789      0.25414      0.24375       1.5248       1.7714    
  2.0000      0.66729      0.42356      0.24372       1.6943       1.6728    
cell            9  23.0           2   216000.00    
  0.0000       0.0000      -1.2707       19.201       0.0000       10.000    
 0.20000      0.16943      -1.1013       19.029      0.16943       5.8403    
 0.40000      0.33885     -0.93184       18.876      0.33885       3.3127    
 0.60000      0.50828     -0.76242       18.740      0.50828       2.4702    
 0.80000      0.67770     -0.59299       18.623      0.67770       2.0489    
  1.0000      0.84713     -0.42356       18.524      0.84713       1.7962    
  1.2000       1.0166     -0.25414       18.442       1.0166       1.6277    
  1.4000       1.1860     -0.84713E-01   18.379       1.1860       1.5073    
  1.6000       1.3554      0.84713E-01   18.334       1.3554       1.4170    
  1.8000       1.5248      0.25414       18.307       1.5248       1.3468    
  2.0000       1.6943      0.42356       18.298       1.6943       1.2906    
cell           10  21.8           1   172800.00    
  0.0000      -1.0503      -1.2928      0.24253       0.0000       10.000    
 0.20000     -0.87849      -1.1205      0.24196      0.17238       6.7753    
 0.40000     -0.70662     -0.94807      0.24145      0.34475       4.1388    
 0.60000     -0.53469     -0.77570      0.24100      0.51713       3.2599    
 0.80000     -0.36271     -0.60332      0.24061      0.68951       2.8205    
  1.0000     -0.19066     -0.43094      0.24028      0.86189       2.5569    
  1.2000     -0.18553E-01 -0.25857      0.24001       1.0343       2.3811    
  1.4000      0.15361     -0.86189E-01  0.23980       1.2066       2.1704    
  1.6000      0.32584      0.86189E-01  0.23965       1.3790       2.0033    
  1.8000      0.49813      0.25857      0.23956       1.5514       1.8733    
  2.0000      0.67048      0.43094      0.23953       1.7238       1.7693    
cell           10  21.8           2   216000.00    
  0.0000       0.0000      -1.2928       18.882       0.0000       10.000    
 0.20000      0.17238      -1.1205       18.711      0.17238       6.1062    
 0.40000      0.34475     -0.94807       18.557      0.34475       3.4697    
 0.60000      0.51713     -0.77570       18.422      0.51713       2.5909    
 0.80000      0.68951     -0.60332       18.305      0.68951       2.1515    
  1.0000      0.86189     -0.43094       18.205      0.86189       1.8878    
  1.2000       1.0343     -0.25857       18.124       1.0343       1.7121    
  1.4000       1.2066     -0.86189E-01   18.061       1.2066       1.5865    
  1.6000       1.3790      0.86189E-01   18.016       1.3790       1.4924    
  1.8000       1.5514      0.25857       17.989       1.5514       1.4191    
  2.0000       1.7238      0.43094       17.979       1.7238       1.3605    
cell           11  16.7           1   172800.00    
  0.0000       0.0000      -1.0761       1.2068       0.0000       10.000    
 0.20000      0.85364E-01 -0.93265       1.0180      0.14348       4.7403    
 0.40000      0.62390E-01 -0.78917      0.85156      0.28697       3.6022    
 0.60000      0.61392E-01 -0.64568      0.70707      0.43045       3.1813    
 0.80000      0.81827E-01 -0.50220      0.58402      0.57394       2.9405    
  1.0000      0.12302     -0.35871      0.48173      0.71742       2.7725    
  1.2000      0.18421     -0.21523      0.39943      0.86091       2.6416    
  1.4000      0.26464     -0.71742E-01  0.33638       1.0044       2.5326    
  1.6000      0.36364      0.71742E-01  0.29190       1.1479       2.4376    
